id,item,item_code,quantity,currency_id,acq_date,acq_period,acq_cost,year_of_useful,month_of_useful,salvage_value,order_id,opening_accum_dep,sales_amount,unit_price,status
item_1,Laptop A1,LTPA1,10,IDR,2024-10-04,202410,10000000,3,0,1000000,1,0,0,5000000,input
item_2,Keyboard K1,KYBDK1,50,IDR,2024-09-20,202409,500000,2,0,50000,2,0,0,250000,confirmed
item_3,Mouse M1,MSEM1,100,IDR,2024-08-15,202408,250000,1,0,25000,3,0,0,125000,canceled
item_4,Monitor MN1,MNTRMN1,20,IDR,2024-07-10,202407,5000000,4,0,500000,4,0,0,2500000,input
item_5,PC Desktop PD1,PCPD1,5,IDR,2024-06-05,202406,15000000,5,0,1500000,5,0,0,7500000,input
item_6,Speaker SP1,SPKSP1,30,IDR,2024-05-01,202405,750000,3,0,75000,6,0,0,375000,confirmed
item_7,Webcam WC1,WBCM1,70,IDR,2024-04-17,202404,350000,2,0,35000,7,0,0,175000,canceled
item_8,RAM 8GB,RM8GB,80,IDR,2024-03-12,202403,1000000,1,0,100000,8,0,0,500000,input
item_9,SSD 512GB,SSD512,40,IDR,2024-02-07,202402,1500000,3,0,150000,9,0,0,750000,input
item_10,HDD 1TB,HDD1TB,90,IDR,2024-01-02,202401,750000,2,0,75000,10,0,0,375000,confirmed
